a: as
amphipoda: amphipodas
amphiprion: amphiprions
amphisbaena: amphisbaenas
amphisbaenia: amphisbaenias
amphisbaenidae: amphisbaenidaes
amphiumidae: amphiumidaes
amsinckia: amsinckias
amsonia: amsonias
amsterdam: amsterdams
amur: amurs
amygdalaceae: amygdalaceaes
amygdalus: amygdaluses
amytal: amytals
ana: anas
anabaptism: anabaptisms
anabaptist: anabaptists
anabrus: anabruses
anacanthini: anacanthinis
anacardiaceae: anacardiaceaes
anacardium: anacardiums
anacyclus: anacycluses
anadenanthera: anadenantheras
anagallis: anagallises
anagasta: anagastas
anagyris: anagyrises
ananas: ananases
ananias: ananiases
anaphalis: anaphalises
anaprox: anaproxes
anapsida: anapsidas
anapurna: anapurnas
anarhichadidae: anarhichadidaes
anarhichas: anarhichases
anasa: anasas
anaspida: anaspidas
anastatica: anastaticas
anastomus: anastomuses
anatidae: anatidaes
anatolia: anatolias
anatolian: anatolians
anchorage: anchorages
ancistrodon: ancistrodons
ancohuma: ancohumas
ancylidae: ancylidaes
ancylostomatidae: ancylostomatidaes
ancylus: ancyluses
andalucia: andalucias
andalusia: andalusias
andersen: andersens
andes: andeses
andira: andiras
andorra: andorras
andorran: andorrans
andreaea: andreaeas
andreaeales: andreaealeses
andrenidae: andrenidaes
andrew: andrews
andricus: andricuses
andromeda: andromedas
andropogon: andropogons
aneides: aneideses
anemia: anemias
anemonella: anemonellas
anemopsis: anemopsises
anethum: anethums
angas: angases
angel: angels
angelus: angeluses
angevin: angevins
angevine: angevines
angiospermae: angiospermaes
angle: angles
anglian: anglians
anglican: anglicans
anglicanism: anglicanisms
anglicism: anglicisms
anglomania: anglomanias
anglophilia: anglophilias
anglophobia: anglophobias
angola: angolas
angolan: angolans
angolese: angoleses
angora: angoras
angraecum: angraecums
angst: angsts
anguidae: anguidaes
anguilla: anguillas
anguillan: anguillans
anguillidae: anguillidaes
anguilliformes: anguilliformeses
anguillula: anguillulas
anguis: anguises
angus: anguses
anhima: anhimas
anhimidae: anhimidaes
anhingidae: anhingidaes
anigozanthus: anigozanthuses
animalia: animalias
anisoptera: anisopteras
anisotremus: anisotremuses
anjou: anjous
ankara: ankaras
annam: annams
annamese: annameses
annamite: annamites
annapolis: annapolises
annapurna: annapurnas
annelida: annelidas
anniellidae: anniellidaes
annona: annonas
annonaceae: annonaceaes
annunciation: annunciations
annwfn: annwfns
annwn: annwns
anobiidae: anobiidaes
anodonta: anodontas
anoectochilus: anoectochiluses
anogramma: anogrammas
anolis: anolises
anomala: anomalas
anomalopidae: anomalopidaes
anomia: anomias
anomiidae: anomiidaes
anopheles: anopheles
anoplura: anopluras
anostraca: anostracas
ansaid: ansaids
anser: anseres
anseriformes: anseriformeses
anserinae: anserinaes
anshar: anshars
antabuse: antabuses
antananarivo: antananarivoes
antarctic: antarctics
antarctica: antarcticas
antares: antareses
antedon: antedons
antedonidae: antedonidaes
antennaria: antennarias
antennariidae: antennariidaes
anthemis: anthemises
antheraea: antheraeas
anthericum: anthericums
antheropeas: antheropeases
anthidium: anthidiums
anthoceropsida: anthoceropsidas
anthoceros: anthoceroses
anthocerotaceae: anthocerotaceaes
anthocerotales: anthocerotaleses
anthonomus: anthonomuses
anthophyta: anthophytas
anthozoa: anthozoas
anthriscus: anthriscuses
anthropoidea: anthropoideas
