chorizagrotis: chorizagrotises
chrysobalanus: chrysobalanuses
chrysochloris: chrysochlorises
chrysolepis: chrysolepises
chrysolophus: chrysolophuses
chrysophyllum: chrysophyllums
chrysopsis: chrysopsises
chrysosplenium: chrysospleniums
chrysothamnus: chrysothamnuses
cibotium: cibotiums
cichorium: cichoriums
cinclus: cincluses
cinnamomum: cinnamomums
cipro: ciproes
circaetus: circaetuses
circus: circuses
cirsium: cirsiums
cistothorus: cistothoruses
cistus: cistuses
citellus: citelluses
citroncirus: citronciruses
citrullus: citrulluses
cladorhyncus: cladorhyncuses
cladrastis: cladrastises
clathrus: clathruses
clinopodium: clinopodiums
clotho: clothoes
clovis: clovises
cnemidophorus: cnemidophoruses
cnicus: cnicuses
cnidoscolus: cnidoscoluses
cocculus: cocculuses
coccyzus: coccyzuses
cochlearius: cochleariuses
cockney: cockneys
cocus: cocuses
cocytus: cocytuses
codiaeum: codiaeums
coeloglossum: coeloglossums
colchicum: colchicums
colchis: colchises
colinus: colinuses
colombo: colomboes
colorado: coloradoes
columbus: columbuses
conepatus: conepatuses
confucius: confuciuses
congo: congoes
conilurus: coniluruses
conium: coniums
connarus: connaruses
conocarpus: conocarpuses
conoclinium: conocliniums
conopodium: conopodiums
conospermum: conospermums
conoy: conoys
contopus: contopuses
conuropsis: conuropsises
copernicus: copernicuses
coprinus: coprinuses
coptis: coptises
cordylus: cordyluses
coregonus: coregonuses
coriandrum: coriandrums
cornus: cornuses
cortez: cortezzes
corticium: corticiums
cortinarius: cortinariuses
corvus: corvuses
corydalis: corydalises
corydalus: corydaluses
corylopsis: corylopsises
corylus: coryluses
cosmocampus: cosmocampuses
cotinus: cotinuses
cottus: cottuses
cracticus: cracticuses
crataegus: crataeguses
crepis: crepises
cretaceous: cretaceouses
cricetus: cricetuses
crius: criuses
crocodilus: crocodiluses
crocodylus: crocodyluses
cronartium: cronartiums
cronus: cronuses
crotalus: crotaluses
crotaphytus: crotaphytuses
cryptobranchus: cryptobranchuses
cryptocercus: cryptocercuses
cryptotis: cryptotises
cuculus: cuculuses
cucumis: cucumises
cuminum: cuminums
cuniculus: cuniculuses
cupressus: cupressuses
cursorius: cursoriuses
cyamopsis: cyamopsises
cyamus: cyamuses
cyclophorus: cyclophoruses
cyclops: cyclops
cyclopterus: cyclopteruses
cyclosorus: cyclosoruses
cygnus: cygnuses
cynocephalus: cynocephaluses
cynoglossum: cynoglossums
cynopterus: cynopteruses
cyperus: cyperuses
cyprinus: cyprinuses
cypripedium: cypripediums
cyprus: cypruses
cyrtomium: cyrtomiums
cystopteris: cystopterises
cytisus: cytisuses
czech: czechs
dmus: dmuses
dacelo: daceloes
dacrycarpus: dacrycarpuses
dacrydium: dacrydiums
dactylis: dactylises
dactyloctenium: dactylocteniums
dactylopius: dactylopiuses
dactylopterus: dactylopteruses
daedalus: daedaluses
daffo: daffoes
dahomey: dahomeys
damaliscus: damaliscuses
damascus: damascuses
dana: danae
danaus: danauses
dasyatis: dasyatises
dasypus: dasypuses
dasyurus: dasyuruses
daucus: daucuses
daypro: dayproes
decapterus: decapteruses
delicious: deliciouses
delphinapterus: delphinapteruses
delphinus: delphinuses
demetrius: demetriuses
dendraspis: dendraspises
dendroaspis: dendroaspises
dendrocalamus: dendrocalamuses
dendroctonus: dendroctonuses
dendrolagus: dendrolaguses
desmanthus: desmanthuses
desmidium: desmidiums
desmodium: desmodiums
desmodus: desmoduses
desmograthus: desmograthuses
dewey: deweys
diadophis: diadophises
dianthus: dianthuses
dicranopteris: dicranopterises
dicranum: dicranums
dictamnus: dictamnuses
didelphis: didelphises
dido: didoes
